# Pin Out For ECP5U-25,,,,,,,,,
# Revision 1.1 - Include CABGA256 package,,,,,,,,,
"# Revised Oct. 17, 2017",,,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CABGA381,CSFBGA285,CABGA256
179,VCC,-,-,-,-,-,-,-,-
180,GND,-,-,-,-,-,-,-,-
181,NC,-,-,-,-,-,-,-,-
182,NC,-,-,-,-,-,-,-,-
183,PR47D,3,LRC_GPLL0C_IN,Comp_OF_PR47C,-,RDQ44,T17,N1,P12
184,PR47C,3,LRC_GPLL0T_IN,True_OF_PR47D,-,RDQ44,U16,M1,P11
185,VCCIO3,-,-,-,-,-,-,-,-
186,PR47B,3,-,Comp_OF_PR47A,TRUE,RDQ44,U17,-,N11
187,VSSIO3,-,-,-,-,-,-,-,-
188,PR47A,3,-,True_OF_PR47B,TRUE,RDQ44,U18,-,M11
189,PR44D,3,-,Comp_OF_PR44C,-,RDQ44,T18,N2,N12
190,VSS,-,-,-,-,-,-,-,-
191,PR44B,3,-,Comp_OF_PR44A,TRUE,RDQSN44,R18,L1,T13
192,PR44C,3,-,True_OF_PR44D,-,RDQ44,U19,M2,M12
193,VCC,-,-,-,-,-,-,-,-
194,PR44A,3,-,True_OF_PR44B,TRUE,RDQS44,T19,K2,R12
195,PR41D,3,-,Comp_OF_PR41C,-,RDQ44,U20,K1,T14
196,VSS,-,-,-,-,-,-,-,-
197,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQ44,R20,L3,R14
198,PR41C,3,-,True_OF_PR41D,-,RDQ44,T20,K3,R13
199,VCCAUX,-,-,-,-,-,-,-,-
200,PR41A,3,-,True_OF_PR41B,TRUE,RDQ44,P20,M3,P13
201,PR38D,3,-,Comp_OF_PR38C,-,RDQ44,P18,N3,T15
202,VCCIO3,-,-,-,-,-,-,-,-
203,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ44,N20,L4,P14
204,PR38C,3,-,True_OF_PR38D,-,RDQ44,P19,N4,R15
205,VSSIO3,-,-,-,-,-,-,-,-
206,PR38A,3,-,True_OF_PR38B,TRUE,RDQ44,N19,K4,N13
207,PR35D,3,-,Comp_OF_PR35C,-,RDQ32,R17,H1,N14
208,VCCIO3,-,-,-,-,-,-,-,-
209,PR35B,3,VREF1_3,Comp_OF_PR35A,TRUE,RDQ32,P16,J1,R16
210,PR35C,3,-,True_OF_PR35D,-,RDQ32,R16,F1,M13
211,VSSIO3,-,-,-,-,-,-,-,-
212,PR35A,3,-,True_OF_PR35B,TRUE,RDQ32,N17,J2,P16
213,PR32D,3,-,Comp_OF_PR32C,-,RDQ32,P17,-,M14
214,VSS,-,-,-,-,-,-,-,-
215,PR32B,3,-,Comp_OF_PR32A,TRUE,RDQSN32,M17,G1,P15
216,PR32C,3,-,True_OF_PR32D,-,RDQ32,N18,-,L14
217,VCC,-,-,-,-,-,-,-,-
218,PR32A,3,-,True_OF_PR32B,TRUE,RDQS32,N16,F2,N16
219,PR29D,3,-,Comp_OF_PR29C,-,RDQ32,M18,H2,L12
220,VSS,-,-,-,-,-,-,-,-
221,PR29B,3,-,Comp_OF_PR29A,TRUE,RDQ32,L17,G3,K12
222,PR29C,3,GR_PCLK3_1,True_OF_PR29D,-,RDQ32,L18,J3,L13
223,VCCAUX,-,-,-,-,-,-,-,-
224,PR29A,3,GR_PCLK3_0,True_OF_PR29B,TRUE,RDQ32,L16,H3,K13
225,PR26D,3,PCLKC3_0,Comp_OF_PR26C,-,RDQ32,M19,F3,M15
226,VCCIO3,-,-,-,-,-,-,-,-
227,PR26B,3,PCLKC3_1,Comp_OF_PR26A,TRUE,RDQ32,M20,G4,L15
228,PR26C,3,PCLKT3_0,True_OF_PR26D,-,RDQ32,L19,F4,M16
229,VSSIO3,-,-,-,-,-,-,-,-
230,PR26A,3,PCLKT3_1,True_OF_PR26B,TRUE,RDQ32,L20,H4,L16
231,PR23D,2,PCLKC2_0,Comp_OF_PR23C,-,RDQ20,K20,D1,K15
232,VCCIO2,-,-,-,-,-,-,-,-
233,PR23B,2,PCLKC2_1,Comp_OF_PR23A,TRUE,RDQ20,K19,B1,J15
234,PR23C,2,PCLKT2_0,True_OF_PR23D,-,RDQ20,J20,C1,K16
235,VSSIO2,-,-,-,-,-,-,-,-
236,PR23A,2,PCLKT2_1,True_OF_PR23B,TRUE,RDQ20,J19,D2,J16
237,PR20D,2,-,Comp_OF_PR20C,-,RDQ20,K18,-,K14
238,VSS,-,-,-,-,-,-,-,-
239,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQSN20,H20,B2,H15
240,PR20C,2,GR_PCLK2_0,True_OF_PR20D,-,RDQ20,J18,A2,J14
241,VCC,-,-,-,-,-,-,-,-
242,PR20A,2,GR_PCLK2_1,True_OF_PR20B,TRUE,RDQS20,G19,A3,G16
243,PR17D,2,-,Comp_OF_PR17C,-,RDQ20,G20,-,J12
244,VSS,-,-,-,-,-,-,-,-
245,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQ20,F19,C2,H13
246,PR17C,2,-,True_OF_PR17D,-,RDQ20,F20,-,J13
247,VCCAUX,-,-,-,-,-,-,-,-
248,PR17A,2,-,True_OF_PR17B,TRUE,RDQ20,E20,D3,H12
249,PR14D,2,-,Comp_OF_PR14C,-,RDQ20,E19,C3,H14
250,VCCIO2,-,-,-,-,-,-,-,-
251,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ20,D19,C4,G15
252,PR14C,2,VREF1_2,True_OF_PR14D,-,RDQ20,D20,B4,G14
253,VSSIO2,-,-,-,-,-,-,-,-
254,PR14A,2,-,True_OF_PR14B,TRUE,RDQ20,C20,D4,F16
255,PR11D,2,-,Comp_OF_PR11C,-,RDQ8,J16,-,E16
256,VCCIO2,-,-,-,-,-,-,-,-
257,PR11B,2,-,Comp_OF_PR11A,TRUE,RDQ8,H17,A4,G13
258,PR11C,2,-,True_OF_PR11D,-,RDQ8,J17,-,F15
259,VSSIO2,-,-,-,-,-,-,-,-
260,PR11A,2,-,True_OF_PR11B,TRUE,RDQ8,H18,A6,G12
261,PR8D,2,-,Comp_OF_PR8C,-,RDQ8,H16,-,F12
262,VSS,-,-,-,-,-,-,-,-
263,PR8B,2,-,Comp_OF_PR8A,TRUE,RDQSN8,G18,A7,E15
264,PR8C,2,-,True_OF_PR8D,-,RDQ8,G16,-,F13
265,VCC,-,-,-,-,-,-,-,-
266,PR8A,2,-,True_OF_PR8B,TRUE,RDQS8,F17,B6,D16
267,PR5D,2,-,Comp_OF_PR5C,-,RDQ8,F18,-,F14
268,VSS,-,-,-,-,-,-,-,-
269,PR5B,2,-,Comp_OF_PR5A,TRUE,RDQ8,E17,C6,C15
270,PR5C,2,-,True_OF_PR5D,-,RDQ8,E18,-,E14
271,VCCAUX,-,-,-,-,-,-,-,-
272,PR5A,2,-,True_OF_PR5B,TRUE,RDQ8,D18,D6,C16
273,PR2D,2,-,Comp_OF_PR2C,-,RDQ8,F16,-,D14
274,VCCIO2,-,-,-,-,-,-,-,-
275,PR2C,2,-,True_OF_PR2D,-,RDQ8,E16,-,C14
276,VSSIO2,-,-,-,-,-,-,-,-
277,PR2B,2,S0_IN,Comp_OF_PR2A,TRUE,RDQ8,D17,B7,B15
278,PR2A,2,-,True_OF_PR2B,TRUE,RDQ8,C18,C7,B16
279,GND,-,-,-,-,-,-,-,-
280,VCC,-,-,-,-,-,-,-,-
281,VSS,-,-,-,-,-,-,-,-
282,VCC,-,-,-,-,-,-,-,-
283,PT67B,1,-,Comp_OF_PT67A,-,-,B20,C8,A15
284,VCCIO1,-,-,-,-,-,-,-,-
